"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.07b5625dfd54","annexes.a2.3_learning_outcomes|table_cell","Define the concepts and role of human-centric approaches and human oversight in the context of programming and AI systems.","Definieer de concepten en de rol van mensgerichte benaderingen en menselijk toezicht in de context van programmeren en AI-systemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.64","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.117","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.40","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.9533d2ffd12e","annexes.a2.3_learning_outcomes|table_cell","LO3.4.27","LO3.4.27"
"doc.annexes.a2.3_learning_outcomes.table_cell.c28fcaea226e","annexes.a2.3_learning_outcomes|table_cell","Describe the main steps in developing, validating and deploying a computer program or an AI system.","Beschrijf de belangrijkste stappen bij het ontwikkelen, valideren en inzetten van een computerprogramma of een AI-systeem."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.65","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.118","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.41","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.7078b87bebb4","annexes.a2.3_learning_outcomes|table_cell","LO3.4.28","LO3.4.28"
"doc.annexes.a2.3_learning_outcomes.table_cell.0a766e634bd2","annexes.a2.3_learning_outcomes|table_cell","Distinguish between main types of machine learning.","Maak onderscheid tussen de belangrijkste soorten machine learning."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.66","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.119","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.42","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.e409b997d98d","annexes.a2.3_learning_outcomes|table_cell","LO3.4.29","LO3.4.29"
"doc.annexes.a2.3_learning_outcomes.table_cell.3c9e5bd60ec1","annexes.a2.3_learning_outcomes|table_cell","Identify the main features and purposes of commonly-used machine learning algorithms.","Identificeer de belangrijkste kenmerken en doeleinden van veelgebruikte machine learning-algoritmen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.67","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.120","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.43","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.4f49517cada3","annexes.a2.3_learning_outcomes|table_cell","LO3.4.30","LO3.4.30"
"doc.annexes.a2.3_learning_outcomes.table_cell.030d7e02dcfc","annexes.a2.3_learning_outcomes|table_cell","Describe the role of user experience (UX) and customer experience (CX) in programming.","Beschrijf de rol van gebruikerservaring (UX) en klantervaring (CX) bij programmeren."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.68","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.121","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.61","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.04e00f3c9857","annexes.a2.3_learning_outcomes|table_cell","LO3.4.31","LO3.4.31"
"doc.annexes.a2.3_learning_outcomes.table_cell.cfad667ec01c","annexes.a2.3_learning_outcomes|table_cell","Describe examples of the application of computational thinking and programming in robotics.","Beschrijf voorbeelden van de toepassing van computationeel denken en programmeren in de robotica."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.69","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.122","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.175","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-Impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.da76411a6737","annexes.a2.3_learning_outcomes|table_cell","LO3.4.32","LO3.4.32"
"doc.annexes.a2.3_learning_outcomes.table_cell.7783e09b2b4a","annexes.a2.3_learning_outcomes|table_cell","Identify routine tasks which could be (partially or fully) automated through programming tools or AI systems.","Identificeer routinetaken die (gedeeltelijk of volledig) geautomatiseerd kunnen worden via programmeertools of AI-systemen."
"doc.annexes.a2.3_learning_outcomes.table_cell.19894f0a1736.70","annexes.a2.3_learning_outcomes|table_cell","Advanced","Gevorderd"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.123","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.f189d8dbcf94.44","annexes.a2.3_learning_outcomes|table_cell","AI-Explicit","AI-Expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.fa938a05c02b","annexes.a2.3_learning_outcomes|table_cell","LO3.4.33","LO3.4.33"
